season_year,personName,personId,plusMinusPoints,minutes,points,assists,fieldGoalsPercentage,performance_score
2023-24,Amir Coffey,1629599,-12,27.0,8.0,3.0,0.667,-0.3330000000000002
2023-24,Amir Coffey,1629599,-11,29.0,14.333333333333334,1.3333333333333333,0.39566666666666667,5.062333333333335
2023-24,Amir Coffey,1629599,-8,32.0,9.0,1.0,0.571,2.5709999999999997
2023-24,Amir Coffey,1629599,-7,23.5,9.0,2.0,0.472,4.4719999999999995
2023-24,Amir Coffey,1629599,-5,26.666666666666668,14.333333333333334,1.6666666666666667,0.5573333333333333,11.557333333333332
2023-24,Amir Coffey,1629599,-4,29.5,13.0,1.5,0.6819999999999999,11.182
2023-24,Amir Coffey,1629599,-3,32.5,12.5,2.5,0.5,12.5
2023-24,Amir Coffey,1629599,-1,22.0,4.0,0.0,0.333,3.333
2023-24,Amir Coffey,1629599,0,21.0,3.0,0.0,0.3335,3.3335
2023-24,Amir Coffey,1629599,1,27.0,2.0,2.0,0.333,5.333
2023-24,Amir Coffey,1629599,3,24.0,2.0,2.0,0.167,7.167
2023-24,Amir Coffey,1629599,4,28.0,3.0,1.0,0.167,8.167
2023-24,Amir Coffey,1629599,5,27.5,15.0,0.5,0.3875,20.8875
2023-24,Amir Coffey,1629599,6,22.0,10.0,3.0,0.6,19.6
2023-24,Amir Coffey,1629599,7,30.0,11.0,0.0,0.444,18.444000000000003
2023-24,Amir Coffey,1629599,8,25.0,2.0,0.0,0.2,10.2
2023-24,Amir Coffey,1629599,9,24.8,9.4,1.0,0.6012000000000001,20.0012
2023-24,Amir Coffey,1629599,10,22.0,10.0,3.0,1.0,24.0
2023-24,Amir Coffey,1629599,12,23.0,9.0,0.0,0.8,21.8
2023-24,Amir Coffey,1629599,15,20.0,17.0,1.0,0.714,33.714
2023-24,Amir Coffey,1629599,18,23.0,9.0,1.0,0.6,28.6
2023-24,Amir Coffey,1629599,23,30.0,13.0,2.0,0.833,38.833
2023-24,Andre Drummond,203083,-31,28.0,11.0,0.0,0.385,-19.615000000000002
2023-24,Andre Drummond,203083,-15,30.0,13.0,0.0,0.417,-1.5830000000000002
2023-24,Andre Drummond,203083,-8,21.0,7.0,0.0,0.333,-0.6669999999999998
